test#,model type,alpha,alpha_ratio,MSE_test,MSE_train,intercept,cv#
75,ElasticNet,5,0.3,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
76,ElasticNet,5,0.5,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
77,ElasticNet,5,0.7,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
78,Lasso,5,NAN,0.8478560289947698,0.8640934710150961,-0.0018809560106383002,3
79,Ridge,5,NAN,0.12842570104491993,0.13364993026617233,-0.001880956010639087,3
80,LR,NAN,NAN,0.12842512036642648,0.1336499145704495,-0.0018673120549268034,3
81,ElasticNet,5,0.1,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
82,ElasticNet,5,0.3,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
83,ElasticNet,5,0.5,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
84,ElasticNet,5,0.7,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
85,Lasso,10,NAN,0.8742098705082418,0.8612752245751545,0.0034285435526044974,1
86,Ridge,10,NAN,0.13708172974813204,0.12936150778202324,0.003428543552603584,1
87,LR,NAN,NAN,0.13708118455276178,0.1293613192981709,0.0034347581395537796,1
88,ElasticNet,10,0.1,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
89,ElasticNet,10,0.3,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
90,ElasticNet,10,0.5,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
91,ElasticNet,10,0.7,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
92,Lasso,10,NAN,0.8640262077525427,0.8604201414299023,-0.001547536114070025,2
93,Ridge,10,NAN,0.13177360968126653,0.1319955498022532,-0.0015475361140696575,2
94,LR,NAN,NAN,0.13177315393280123,0.13199858853663696,-0.0015173923765062973,2
95,ElasticNet,10,0.1,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
96,ElasticNet,10,0.3,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
97,ElasticNet,10,0.5,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
98,ElasticNet,10,0.7,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
99,Lasso,10,NAN,0.8478560289947698,0.8640934710150961,-0.0018809560106383002,3
100,Ridge,10,NAN,0.12842570104491993,0.13364993026617233,-0.001880956010639087,3
101,LR,NAN,NAN,0.12842512036642648,0.1336499145704495,-0.0018673120549268034,3
102,ElasticNet,10,0.1,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
103,ElasticNet,10,0.3,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
104,ElasticNet,10,0.5,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
105,ElasticNet,10,0.7,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
106,Lasso,15,NAN,0.8742098705082418,0.8612752245751545,0.0034285435526044974,1
107,Ridge,15,NAN,0.13708172974813204,0.12936150778202324,0.003428543552603584,1
108,LR,NAN,NAN,0.13708118455276178,0.1293613192981709,0.0034347581395537796,1
109,ElasticNet,15,0.1,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
110,ElasticNet,15,0.3,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
111,ElasticNet,15,0.5,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
112,ElasticNet,15,0.7,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
113,Lasso,15,NAN,0.8640262077525427,0.8604201414299023,-0.001547536114070025,2
114,Ridge,15,NAN,0.13177360968126653,0.1319955498022532,-0.0015475361140696575,2
115,LR,NAN,NAN,0.13177315393280123,0.13199858853663696,-0.0015173923765062973,2
116,ElasticNet,15,0.1,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
117,ElasticNet,15,0.3,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
118,ElasticNet,15,0.5,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
119,ElasticNet,15,0.7,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
120,Lasso,15,NAN,0.8478560289947698,0.8640934710150961,-0.0018809560106383002,3
121,Ridge,15,NAN,0.12842570104491993,0.13364993026617233,-0.001880956010639087,3
122,LR,NAN,NAN,0.12842512036642648,0.1336499145704495,-0.0018673120549268034,3
123,ElasticNet,15,0.1,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
124,ElasticNet,15,0.3,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
125,ElasticNet,15,0.5,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
126,ElasticNet,15,0.7,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
