test#,model type,alpha,alpha_ratio,MSE_test,MSE_train,intercept,cv#
1,Lasso,0.05,NAN,0.8058288450039097,0.8197937392705897,0.004612082330098998,1
2,Ridge,0.05,NAN,0.046241270318631164,0.04607410377208729,0.004612082330098117,1
3,LR,NAN,NAN,0.04625341706706856,0.046099913687383566,0.004025906118418221,1
4,ElasticNet,0.05,0.1,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
5,ElasticNet,0.05,0.3,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
6,ElasticNet,0.05,0.5,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
7,ElasticNet,0.05,0.7,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
8,Lasso,0.05,NAN,0.8184813478780045,0.8124801416232169,0.0012818064814546048,2
9,Ridge,0.05,NAN,0.04652747891003454,0.04592856049754977,0.0012818064814519724,2
10,LR,NAN,NAN,0.04652328551941815,0.04596024963786298,0.001412891557211692,2
11,ElasticNet,0.05,0.1,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
12,ElasticNet,0.05,0.3,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
13,ElasticNet,0.05,0.5,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
14,ElasticNet,0.05,0.7,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
15,Lasso,0.05,NAN,0.8217785648776403,0.8131704336089048,-0.005893888811553696,3
16,Ridge,0.05,NAN,0.04676548066149274,0.04583266941289586,-0.0058938888115501195,3
17,LR,NAN,NAN,0.046725941989572375,0.045861368256693645,-0.005821435800396711,3
18,ElasticNet,0.05,0.1,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
19,ElasticNet,0.05,0.3,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
20,ElasticNet,0.05,0.5,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
21,ElasticNet,0.05,0.7,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
22,Lasso,0.1,NAN,0.8058288450039097,0.8197937392705897,0.004612082330098998,1
23,Ridge,0.1,NAN,0.046241270318631164,0.04607410377208729,0.004612082330098117,1
24,LR,NAN,NAN,0.04625341706706856,0.046099913687383566,0.004025906118418221,1
25,ElasticNet,0.1,0.1,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
26,ElasticNet,0.1,0.3,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
27,ElasticNet,0.1,0.5,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
28,ElasticNet,0.1,0.7,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
29,Lasso,0.1,NAN,0.8184813478780045,0.8124801416232169,0.0012818064814546048,2
30,Ridge,0.1,NAN,0.04652747891003454,0.04592856049754977,0.0012818064814519724,2
31,LR,NAN,NAN,0.04652328551941815,0.04596024963786298,0.001412891557211692,2
32,ElasticNet,0.1,0.1,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
33,ElasticNet,0.1,0.3,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
34,ElasticNet,0.1,0.5,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
35,ElasticNet,0.1,0.7,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
36,Lasso,0.1,NAN,0.8217785648776403,0.8131704336089048,-0.005893888811553696,3
37,Ridge,0.1,NAN,0.04676548066149274,0.04583266941289586,-0.0058938888115501195,3
38,LR,NAN,NAN,0.046725941989572375,0.045861368256693645,-0.005821435800396711,3
39,ElasticNet,0.1,0.1,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
40,ElasticNet,0.1,0.3,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
41,ElasticNet,0.1,0.5,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
42,ElasticNet,0.1,0.7,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
43,Lasso,0.5,NAN,0.8058288450039097,0.8197937392705897,0.004612082330098998,1
44,Ridge,0.5,NAN,0.046241270318631164,0.04607410377208729,0.004612082330098117,1
45,LR,NAN,NAN,0.04625341706706856,0.046099913687383566,0.004025906118418221,1
46,ElasticNet,0.5,0.1,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
47,ElasticNet,0.5,0.3,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
48,ElasticNet,0.5,0.5,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
49,ElasticNet,0.5,0.7,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
50,Lasso,0.5,NAN,0.8184813478780045,0.8124801416232169,0.0012818064814546048,2
51,Ridge,0.5,NAN,0.04652747891003454,0.04592856049754977,0.0012818064814519724,2
52,LR,NAN,NAN,0.04652328551941815,0.04596024963786298,0.001412891557211692,2
53,ElasticNet,0.5,0.1,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
54,ElasticNet,0.5,0.3,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
55,ElasticNet,0.5,0.5,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
56,ElasticNet,0.5,0.7,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
57,Lasso,0.5,NAN,0.8217785648776403,0.8131704336089048,-0.005893888811553696,3
58,Ridge,0.5,NAN,0.04676548066149274,0.04583266941289586,-0.0058938888115501195,3
59,LR,NAN,NAN,0.046725941989572375,0.045861368256693645,-0.005821435800396711,3
60,ElasticNet,0.5,0.1,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
61,ElasticNet,0.5,0.3,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
62,ElasticNet,0.5,0.5,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
63,ElasticNet,0.5,0.7,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
64,Lasso,5,NAN,0.8058288450039097,0.8197937392705897,0.004612082330098998,1
65,Ridge,5,NAN,0.046241270318631164,0.04607410377208729,0.004612082330098117,1
66,LR,NAN,NAN,0.04625341706706856,0.046099913687383566,0.004025906118418221,1
67,ElasticNet,5,0.1,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
68,ElasticNet,5,0.3,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
69,ElasticNet,5,0.5,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
70,ElasticNet,5,0.7,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
71,Lasso,5,NAN,0.8184813478780045,0.8124801416232169,0.0012818064814546048,2
72,Ridge,5,NAN,0.04652747891003454,0.04592856049754977,0.0012818064814519724,2
73,LR,NAN,NAN,0.04652328551941815,0.04596024963786298,0.001412891557211692,2
74,ElasticNet,5,0.1,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
75,ElasticNet,5,0.3,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
76,ElasticNet,5,0.5,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
77,ElasticNet,5,0.7,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
78,Lasso,5,NAN,0.8217785648776403,0.8131704336089048,-0.005893888811553696,3
79,Ridge,5,NAN,0.04676548066149274,0.04583266941289586,-0.0058938888115501195,3
