test#,model type,alpha,alpha_ratio,MSE_test,MSE_train,intercept,cv#
80,LR,NAN,NAN,0.046725941989572375,0.045861368256693645,-0.005821435800396711,3
81,ElasticNet,5,0.1,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
82,ElasticNet,5,0.3,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
83,ElasticNet,5,0.5,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
84,ElasticNet,5,0.7,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
85,Lasso,10,NAN,0.8058288450039097,0.8197937392705897,0.004612082330098998,1
86,Ridge,10,NAN,0.046241270318631164,0.04607410377208729,0.004612082330098117,1
87,LR,NAN,NAN,0.04625341706706856,0.046099913687383566,0.004025906118418221,1
88,ElasticNet,10,0.1,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
89,ElasticNet,10,0.3,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
90,ElasticNet,10,0.5,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
91,ElasticNet,10,0.7,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
92,Lasso,10,NAN,0.8184813478780045,0.8124801416232169,0.0012818064814546048,2
93,Ridge,10,NAN,0.04652747891003454,0.04592856049754977,0.0012818064814519724,2
94,LR,NAN,NAN,0.04652328551941815,0.04596024963786298,0.001412891557211692,2
95,ElasticNet,10,0.1,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
96,ElasticNet,10,0.3,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
97,ElasticNet,10,0.5,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
98,ElasticNet,10,0.7,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
99,Lasso,10,NAN,0.8217785648776403,0.8131704336089048,-0.005893888811553696,3
100,Ridge,10,NAN,0.04676548066149274,0.04583266941289586,-0.0058938888115501195,3
101,LR,NAN,NAN,0.046725941989572375,0.045861368256693645,-0.005821435800396711,3
102,ElasticNet,10,0.1,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
103,ElasticNet,10,0.3,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
104,ElasticNet,10,0.5,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
105,ElasticNet,10,0.7,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
106,Lasso,15,NAN,0.8058288450039097,0.8197937392705897,0.004612082330098998,1
107,Ridge,15,NAN,0.046241270318631164,0.04607410377208729,0.004612082330098117,1
108,LR,NAN,NAN,0.04625341706706856,0.046099913687383566,0.004025906118418221,1
109,ElasticNet,15,0.1,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
110,ElasticNet,15,0.3,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
111,ElasticNet,15,0.5,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
112,ElasticNet,15,0.7,0.36802757772569666,0.3797549361114106,0.004612082330098982,1
113,Lasso,15,NAN,0.8184813478780045,0.8124801416232169,0.0012818064814546048,2
114,Ridge,15,NAN,0.04652747891003454,0.04592856049754977,0.0012818064814519724,2
115,LR,NAN,NAN,0.04652328551941815,0.04596024963786298,0.001412891557211692,2
116,ElasticNet,15,0.1,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
117,ElasticNet,15,0.3,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
118,ElasticNet,15,0.5,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
119,ElasticNet,15,0.7,0.3815824281391388,0.3747249433450432,0.0012818064814546378,2
120,Lasso,15,NAN,0.8217785648776403,0.8131704336089048,-0.005893888811553696,3
121,Ridge,15,NAN,0.04676548066149274,0.04583266941289586,-0.0058938888115501195,3
122,LR,NAN,NAN,0.046725941989572375,0.045861368256693645,-0.005821435800396711,3
123,ElasticNet,15,0.1,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
124,ElasticNet,15,0.3,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
125,ElasticNet,15,0.5,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
126,ElasticNet,15,0.7,0.3824115981914145,0.37673769336359314,-0.005893888811553691,3
