test#,model type,alpha,alpha_ratio,MSE_test,MSE_train,intercept,cv#
44,Ridge,0.5,NAN,0.06683711125868555,0.06448017531053687,-0.0032305478313195,1
45,LR,NAN,NAN,0.06684855151304799,0.06448639968069782,-0.0033309249904514933,1
46,ElasticNet,0.5,0.1,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
47,ElasticNet,0.5,0.3,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
48,ElasticNet,0.5,0.5,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
49,ElasticNet,0.5,0.7,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
50,Lasso,0.5,NAN,0.9485240811418494,0.9364843400336131,0.0060274559100940385,2
51,Ridge,0.5,NAN,0.06578198940710041,0.06502200186585097,0.006027455910094535,2
52,LR,NAN,NAN,0.0657786688144793,0.06502362806769756,0.0060167159776212085,2
53,ElasticNet,0.5,0.1,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
54,ElasticNet,0.5,0.3,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
55,ElasticNet,0.5,0.5,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
56,ElasticNet,0.5,0.7,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
57,Lasso,0.5,NAN,0.9136308242547844,0.9451544827042695,-0.002797078457332723,3
58,Ridge,0.5,NAN,0.06515534834560813,0.06535123695556735,-0.0027970784573319142,3
59,LR,NAN,NAN,0.0651587978705692,0.06535557485369045,-0.002825490949727093,3
60,ElasticNet,0.5,0.1,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
61,ElasticNet,0.5,0.3,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
62,ElasticNet,0.5,0.5,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
63,ElasticNet,0.5,0.7,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
64,Lasso,5,NAN,0.9599772052905409,0.9396069214123335,-0.003230547831318969,1
65,Ridge,5,NAN,0.06683711125868555,0.06448017531053687,-0.0032305478313195,1
66,LR,NAN,NAN,0.06684855151304799,0.06448639968069782,-0.0033309249904514933,1
67,ElasticNet,5,0.1,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
68,ElasticNet,5,0.3,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
69,ElasticNet,5,0.5,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
70,ElasticNet,5,0.7,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
71,Lasso,5,NAN,0.9485240811418494,0.9364843400336131,0.0060274559100940385,2
72,Ridge,5,NAN,0.06578198940710041,0.06502200186585097,0.006027455910094535,2
73,LR,NAN,NAN,0.0657786688144793,0.06502362806769756,0.0060167159776212085,2
74,ElasticNet,5,0.1,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
75,ElasticNet,5,0.3,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
76,ElasticNet,5,0.5,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
77,ElasticNet,5,0.7,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
78,Lasso,5,NAN,0.9136308242547844,0.9451544827042695,-0.002797078457332723,3
79,Ridge,5,NAN,0.06515534834560813,0.06535123695556735,-0.0027970784573319142,3
80,LR,NAN,NAN,0.0651587978705692,0.06535557485369045,-0.002825490949727093,3
81,ElasticNet,5,0.1,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
82,ElasticNet,5,0.3,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
83,ElasticNet,5,0.5,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
84,ElasticNet,5,0.7,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
85,Lasso,10,NAN,0.9599772052905409,0.9396069214123335,-0.003230547831318969,1
86,Ridge,10,NAN,0.06683711125868555,0.06448017531053687,-0.0032305478313195,1
87,LR,NAN,NAN,0.06684855151304799,0.06448639968069782,-0.0033309249904514933,1
88,ElasticNet,10,0.1,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
89,ElasticNet,10,0.3,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
90,ElasticNet,10,0.5,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
91,ElasticNet,10,0.7,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
92,Lasso,10,NAN,0.9485240811418494,0.9364843400336131,0.0060274559100940385,2
93,Ridge,10,NAN,0.06578198940710041,0.06502200186585097,0.006027455910094535,2
94,LR,NAN,NAN,0.0657786688144793,0.06502362806769756,0.0060167159776212085,2
95,ElasticNet,10,0.1,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
96,ElasticNet,10,0.3,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
97,ElasticNet,10,0.5,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
98,ElasticNet,10,0.7,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
99,Lasso,10,NAN,0.9136308242547844,0.9451544827042695,-0.002797078457332723,3
100,Ridge,10,NAN,0.06515534834560813,0.06535123695556735,-0.0027970784573319142,3
101,LR,NAN,NAN,0.0651587978705692,0.06535557485369045,-0.002825490949727093,3
102,ElasticNet,10,0.1,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
103,ElasticNet,10,0.3,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
104,ElasticNet,10,0.5,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
105,ElasticNet,10,0.7,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
106,Lasso,15,NAN,0.9599772052905409,0.9396069214123335,-0.003230547831318969,1
107,Ridge,15,NAN,0.06683711125868555,0.06448017531053687,-0.0032305478313195,1
108,LR,NAN,NAN,0.06684855151304799,0.06448639968069782,-0.0033309249904514933,1
109,ElasticNet,15,0.1,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
110,ElasticNet,15,0.3,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
111,ElasticNet,15,0.5,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
112,ElasticNet,15,0.7,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
113,Lasso,15,NAN,0.9485240811418494,0.9364843400336131,0.0060274559100940385,2
114,Ridge,15,NAN,0.06578198940710041,0.06502200186585097,0.006027455910094535,2
115,LR,NAN,NAN,0.0657786688144793,0.06502362806769756,0.0060167159776212085,2
116,ElasticNet,15,0.1,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
117,ElasticNet,15,0.3,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
118,ElasticNet,15,0.5,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
119,ElasticNet,15,0.7,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
120,Lasso,15,NAN,0.9136308242547844,0.9451544827042695,-0.002797078457332723,3
121,Ridge,15,NAN,0.06515534834560813,0.06535123695556735,-0.0027970784573319142,3
122,LR,NAN,NAN,0.0651587978705692,0.06535557485369045,-0.002825490949727093,3
123,ElasticNet,15,0.1,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
124,ElasticNet,15,0.3,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
125,ElasticNet,15,0.5,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
126,ElasticNet,15,0.7,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
